"OverallPick","Round","PickInRound","Player","NFLTeam","Position","FantasyTeam"
91,12,3,"Baker Mayfield","TB","QB","Rome Reigns"
92,12,4,"Courtland Sutton","DEN","WR","Purple Rain"
93,12,5,"Makai Lemon","PHI","WR","Fauxgendaz"
94,12,6,"Zach Charbonnet","SEA","RB","NKFL"
95,12,7,"Jordan Addison","MIN","WR","Clint Bilton"
96,12,8,"Jared Goff","DET","QB","Flames"
97,13,1,"De'Zhaun Stribling","SF","WR","Flames"
98,13,2,"Mark Andrews","BAL","TE","Clint Bilton"
99,13,3,"AJ Barner","SEA","TE","NKFL"
100,13,4,"Tank Bigsby","PHI","RB","Fauxgendaz"
101,13,5,"Bhayshul Tuten","JAC","RB","Purple Rain"
102,13,6,"Kyle Pitts Sr.","ATL","TE","Rome Reigns"
103,13,7,"Kyle Monangai","CHI","RB","Magic Skol Bus"
104,13,8,"Kenny Gainwell","TB","RB","Think Tank"
105,14,1,"Chris Godwin Jr.","TB","WR","Think Tank"
106,14,2,"Jakobi Meyers","JAC","WR","Magic Skol Bus"
107,14,3,"Brian Thomas Jr.","JAC","WR","Rome Reigns"
108,14,4,"Harold Fannin Jr.","CLE","TE","Purple Rain"
109,14,5,"David Njoku","LAC","TE","Fauxgendaz"
110,14,6,"Quentin Johnston","LAC","WR","NKFL"
111,14,7,"Matthew Golden","GB","WR","Clint Bilton"
112,14,8,"Dontayvion Wicks","PHI","WR","Flames"
113,15,1,"Harrison Butker","KC","K","Flames"
114,15,2,"Texans D/ST","HOU","DST","Clint Bilton"
115,15,3,"Ravens D/ST","BAL","DST","NKFL"
116,15,4,"Broncos D/ST","DEN","DST","Fauxgendaz"
117,15,5,"Seahawks D/ST","SEA","DST","Purple Rain"
118,15,6,"Vikings D/ST",,"DST","Rome Reigns"
119,15,7,"Evan McPherson","CIN","K","Magic Skol Bus"
120,15,8,"Patriots D/ST","NE","DST","Think Tank"
121,16,1,"Ka'imi Fairbairn","HOU","K","Think Tank"
122,16,2,"Steelers D/ST","PIT","DST","Magic Skol Bus"
123,16,3,"Brandon Aubrey","DAL","K","Rome Reigns"
124,16,4,"Cameron Dicker","LAC","K","Purple Rain"
125,16,5,"Tyler Bass",,"K","Fauxgendaz"
126,16,6,"Trey Smack","GB","K","NKFL"
127,16,7,"Will Reichard","MIN","K","Clint Bilton"
128,16,8,"Bears D/ST",,"DST","Flames"
