"Team","Picks","Scored","Missing","MeanRankedSurplus","MedianRankedSurplus","TotalRankedSurplus","MeanFloorSurplus","TotalFloorSurplus","SurplusHits","EvenPicks","NegativePicks","FloorPlace","RankedPlace"
"Rome Reigns",14,14,0,11.9285714285714,9.5,167,11.9285714285714,167,12,0,2,1,1
"Purple Rain",14,14,0,5.21428571428571,-0.5,73,5.21428571428571,73,7,0,7,2,2
"Think Tank",14,14,0,2.78571428571429,-1,39,2.78571428571429,39,7,0,7,3,3
"Magic Skol Bus",14,14,0,-6.92857142857143,6.5,-97,-6.92857142857143,-97,10,0,4,4,4
"Clint Bilton",14,14,0,-11.7857142857143,-7,-165,-11.7857142857143,-165,6,0,8,5,5
"NKFL",14,14,0,-31.1428571428571,-20,-436,-31.1428571428571,-436,3,0,11,6,6
"Flames",14,14,0,-49.7142857142857,-24.5,-696,-49.7142857142857,-696,5,0,9,7,8
"Fauxgendaz",14,12,2,-41.8333333333333,-20.5,-502,-67.3571428571429,-943,1,0,11,8,7
